iter	Passed	Remaining
824	28449	6034
825	28484	6000
826	28518	5965
827	28553	5931
828	28586	5896
829	28618	5861
830	28652	5827
831	28687	5792
832	28721	5758
833	28758	5724
834	28791	5689
835	28824	5654
836	28860	5620
837	28893	5585
838	28929	5551
839	28964	5517
840	28996	5482
841	29030	5447
842	29065	5413
843	29099	5378
844	29132	5343
845	29165	5309
846	29197	5274
847	29232	5239
848	29265	5205
849	29296	5170
850	29329	5135
851	29362	5100
852	29395	5065
853	29427	5030
854	29459	4996
855	29498	4962
856	29529	4927
857	29561	4892
858	29596	4858
859	29631	4823
860	29664	4789
861	29698	4754
862	29734	4720
863	29768	4685
864	29802	4651
865	29837	4616
866	29872	4582
867	29908	4548
868	29942	4513
869	29977	4479
870	30015	4445
871	30047	4410
872	30082	4376
873	30120	4342
874	30156	4308
875	30196	4274
876	30233	4240
877	30268	4205
878	30301	4171
879	30336	4136
880	30368	4102
881	30400	4067
882	30436	4032
883	30470	3998
884	30507	3964
885	30542	3929
886	30576	3895
887	30612	3861
888	30645	3826
889	30678	3791
890	30712	3757
891	30752	3723
892	30783	3688
893	30816	3653
894	30852	3619
895	30884	3584
896	30916	3550
897	30951	3515
898	30982	3480
899	31017	3446
900	31050	3411
901	31082	3377
902	31113	3342
903	31144	3307
904	31177	3272
905	31210	3238
906	31246	3203
907	31282	3169
908	31316	3135
909	31351	3100
910	31388	3066
911	31422	3032
912	31457	2997
913	31491	2963
914	31524	2928
915	31559	2894
916	31592	2859
917	31624	2824
918	31657	2790
919	31687	2755
920	31723	2721
921	31755	2686
922	31792	2652
923	31824	2617
924	31857	2583
925	31889	2548
926	31923	2513
927	31955	2479
928	31986	2444
929	32020	2410
930	32052	2375
931	32086	2341
932	32124	2306
933	32160	2272
934	32196	2238
935	32231	2203
936	32267	2169
937	32304	2135
938	32340	2100
939	32374	2066
940	32408	2031
941	32443	1997
942	32477	1963
943	32510	1928
944	32545	1894
945	32580	1859
946	32614	1825
947	32648	1790
948	32681	1756
949	32718	1722
950	32754	1687
951	32786	1653
952	32818	1618
953	32852	1584
954	32884	1549
955	32915	1514
956	32949	1480
957	32985	1446
958	33022	1411
959	33056	1377
960	33092	1342
961	33125	1308
962	33162	1274
963	33196	1239
964	33230	1205
965	33263	1170
966	33298	1136
967	33329	1101
968	33360	1067
969	33394	1032
970	33427	998
971	33464	963
972	33517	930
973	33552	895
974	33586	861
975	33615	826
976	33648	792
977	33678	757
978	33712	723
979	33746	688
980	33779	654
981	33814	619
982	33849	585
983	33884	550
984	33918	516
985	33953	482
986	33992	447
987	34029	413
988	34063	378
989	34098	344
990	34136	310
991	34168	275
992	34203	241
993	34237	206
994	34271	172
995	34304	137
996	34338	103
997	34372	68
998	34406	34
999	34438	0
